City_Data,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
343,iqaluit,40,CA,1615763909,63,63.7506,-68.5145,-16.01,20.71
344,te anau,100,NZ,1615763910,95,-45.4167,167.7167,54.97,6.76
345,buarcos,0,PT,1615763910,93,40.166,-8.8768,54.0,4.61
346,sitka,20,US,1615763598,40,57.0531,-135.33,33.8,3.44
347,kirkland lake,100,CA,1615763710,44,48.1446,-80.0377,12.2,12.64
348,haftoni,100,AZ,1615763911,93,38.7632,48.7622,39.2,2.3
349,chernyshevskiy,8,RU,1615763912,93,63.0128,112.4714,-18.62,8.34
350,vicksburg,40,US,1615763912,53,32.3526,-90.8779,80.6,11.5
351,mormugao,20,IN,1615763912,100,15.4,73.8,78.8,3.44
352,leh,57,IN,1615763913,81,34.1667,77.5833,21.34,2.39
353,vestmannaeyjar,99,IS,1615763636,78,63.4427,-20.2734,39.72,15.32
354,christchurch,78,NZ,1615763866,40,-43.5333,172.6333,73.4,4.61
355,nemuro,100,JP,1615763914,88,43.3236,145.575,33.6,26.06
356,waingapu,92,ID,1615763914,81,-9.6567,120.2641,79.38,1.95
357,san patricio,90,US,1615763377,68,28.017,-97.5169,64.99,11.5
358,kudahuvadhoo,85,MV,1615763914,70,2.6708,72.8944,82.67,9.8
359,ede,90,NL,1615763915,93,52.0333,5.6583,43.0,6.91
360,west bay,20,KY,1615763915,74,19.3667,-81.4167,80.6,9.22
361,tual,92,ID,1615763663,70,-5.6667,132.75,83.53,5.23
362,prince rupert,90,CA,1615763705,93,54.3161,-130.3201,35.6,5.75
363,novopokrovka,0,UA,1615763916,75,49.8425,36.5477,35.6,6.71
364,havelock,75,US,1615763917,34,34.8791,-76.9013,66.0,8.05
